City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Butaritari,KI,81.59,light rain,3.0707,172.7902,Isles Sunset Lodge
4,Kapaa,US,76.98,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
25,Turayf,SA,87.64,clear sky,31.6725,38.6637,Al Mudawah Hotel
29,Ca Mau,VN,78.21,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
34,Chimoio,MZ,85.86,clear sky,-19.1164,33.4833,Predio Livraria Ahmed
42,Hilo,US,78.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
50,Gushikawa,JP,81.63,clear sky,26.3544,127.8686,Kirari Guest House
52,Sur,OM,85.68,clear sky,22.5667,59.5289,Sur Plaza Hotel
54,Bengkulu,ID,77.29,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
58,Les Cayes,HT,83.68,overcast clouds,18.2,-73.75,Villa Orphee
62,Manga,BF,87.4,broken clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
66,Kamarion,GR,76.1,broken clouds,36.8,25.8167,Rooms Eleni
78,Carutapera,BR,87.85,broken clouds,-1.195,-46.02,Lidera
81,Belmonte,BR,78.31,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
87,Kahului,US,78.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
89,Chitipa,MW,82.87,clear sky,-9.7024,33.2697,Tulipoka Lodges
92,Asau,RO,78.28,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
94,Luau,AO,77.74,overcast clouds,-10.7073,22.2247,Kimbo Hotel
97,Bitung,ID,79.65,broken clouds,1.4451,125.1824,K2 Lembeh
100,Ambulu,ID,76.59,light rain,-8.345,113.6058,Hotel Ambulu Jember
101,Mahenge,TZ,78.33,broken clouds,-8.6833,36.7167,Mahenge ulanga
102,Marsa Matruh,EG,86.05,clear sky,31.3525,27.2453,Beau Site
106,Sao Filipe,CV,79.88,few clouds,14.8961,-24.4956,Hotel Xaguate
107,Asfi,MA,75.97,clear sky,32.2994,-9.2372,Hôtel Abda
109,Ponta Do Sol,PT,80.71,broken clouds,32.6667,-17.1,Hotel do Campo
112,Manggar,ID,81.19,overcast clouds,-2.8833,108.2667,Guest Hotel
117,Uvira,CD,84.94,light rain,-3.4067,29.1458,Hotel Suzana
119,Presidente Medici,BR,89.17,few clouds,-11.1753,-61.9014,Oliveira Palace Hotel
120,Cabo San Lucas,MX,82.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
121,Kavaratti,IN,81.52,overcast clouds,10.5669,72.642,Green leaf
123,Springbok,ZA,84.69,clear sky,-29.6643,17.8865,Undulata Country Lodge
127,Puerto Del Rosario,ES,76.75,broken clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
131,Lorengau,PG,81.75,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
132,Atuona,PF,75.22,light rain,-9.8,-139.0333,Villa Enata
141,Bokaro,IN,83.08,overcast clouds,23.7833,85.9667,Bineshwar Hotel
142,Hirara,JP,81.9,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
144,Mogadishu,SO,78.71,clear sky,2.0371,45.3438,Hotel Juba
147,Bubaque,GW,81.0,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
153,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
154,Jieshi,CN,80.29,few clouds,22.8134,115.8257,Yuehai Hotel
169,Sao Jose Da Coroa Grande,BR,80.78,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
172,Bondoukou,CI,80.51,moderate rain,8.0333,-2.8,Prestige Hotel
176,Alugan,PH,80.78,overcast clouds,12.2188,125.4808,JM Lodge
180,Chipinge,ZW,85.24,clear sky,-20.1883,32.6236,Chipinge Breeze Lodge
182,Patawag,PH,80.92,overcast clouds,8.1064,122.6208,Banigan Beach
185,Trat,TH,83.88,light rain,12.5,102.5,สวนหนิง-อัศ
196,Eminabad,PK,82.85,clear sky,32.0422,74.2594,Dara ch Imran sultan
199,Victoria,HK,84.38,few clouds,22.2855,114.1577,Mini Central
201,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
202,San Juan De Uraba,CO,80.56,overcast clouds,8.7592,-76.5297,Hotel Cerro De Zumba
203,Qarqin,AF,76.84,clear sky,37.4185,66.0436,Hayetmurad
205,San Patricio,US,77.92,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
207,Hithadhoo,MV,81.9,overcast clouds,-0.6,73.0833,Scoop Guest House
215,Luwuk,ID,78.22,clear sky,-0.9516,122.7875,Hotel Santika Luwuk
219,Corinto,GR,88.14,scattered clouds,37.9407,22.9573,Ephira Hotel
223,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
228,Luganville,VU,77.16,few clouds,-15.5333,167.1667,The Espiritu Hotel
229,Alexandria,EG,84.87,clear sky,31.2156,29.9553,Royal Crown Hotel
