City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,33.28,99,9,1.52,clear sky
1,Lasa,IT,46.6166,10.7002,56.7,68,93,2.77,overcast clouds
2,Pevek,RU,69.7008,170.3133,33.8,80,100,4.88,overcast clouds
3,Butaritari,KI,3.0707,172.7902,81.59,75,100,13.65,light rain
4,Kapaa,US,22.0752,-159.319,76.98,93,75,8.05,moderate rain
5,Thompson,CA,55.7435,-97.8558,33.31,53,0,5.53,clear sky
6,Rikitea,PF,-23.1203,-134.9692,73.54,71,64,8.61,broken clouds
7,Mahebourg,MU,-20.4081,57.7,72.25,70,35,13.89,scattered clouds
8,Sarh,TD,9.1429,18.3923,90.01,54,41,2.15,scattered clouds
9,Jamestown,US,42.097,-79.2353,54.01,57,100,5.99,overcast clouds
10,Kongolo,CD,-5.3833,27.0,91.54,38,71,3.89,broken clouds
11,Castro,BR,-24.7911,-50.0119,64.35,81,90,5.23,overcast clouds
12,Mar Del Plata,AR,-38.0023,-57.5575,64.42,63,0,11.5,clear sky
13,Kenai,US,60.5544,-151.2583,39.09,98,0,6.91,clear sky
14,Blagoyevo,RU,63.3667,47.9167,45.57,92,27,5.35,scattered clouds
15,Palora,EC,-1.7,-77.9333,71.71,96,100,0.4,overcast clouds
16,Saskylakh,RU,71.9167,114.0833,31.44,97,100,8.25,overcast clouds
17,Puerto Ayora,EC,-0.7393,-90.3518,63.55,100,99,4.0,light rain
18,Bluff,NZ,-46.6,168.3333,42.19,81,31,4.03,scattered clouds
19,Yellowknife,CA,62.456,-114.3525,44.56,100,100,4.0,overcast clouds
20,Vaini,TO,-21.2,-175.2,73.56,83,75,8.05,broken clouds
21,Albany,US,42.6001,-73.9662,50.67,87,100,1.79,overcast clouds
22,Mundo Nuevo,MX,18.7,-95.5,78.22,70,82,8.03,broken clouds
23,Port Alfred,ZA,-33.5906,26.891,68.18,70,97,4.0,overcast clouds
24,Burnie,AU,-41.0667,145.9167,48.92,78,0,5.66,clear sky
25,Turayf,SA,31.6725,38.6637,87.64,19,0,12.82,clear sky
26,Lebu,CL,-37.6167,-73.65,56.64,74,25,13.33,scattered clouds
27,Carnarvon,AU,-24.8667,113.6333,68.45,76,0,23.24,clear sky
28,Srednekolymsk,RU,67.45,153.6833,26.33,90,100,9.33,overcast clouds
29,Ca Mau,VN,9.1769,105.15,78.21,88,100,4.16,overcast clouds
30,Provideniya,RU,64.3833,-173.3,37.94,82,85,17.22,overcast clouds
31,Ust-Tsilma,RU,65.441,52.1498,39.11,98,100,7.34,overcast clouds
32,Tasiilaq,GL,65.6145,-37.6368,36.66,97,100,4.14,light rain
33,Ipixuna,BR,-1.7625,-48.8043,91.36,46,59,5.35,broken clouds
34,Chimoio,MZ,-19.1164,33.4833,85.86,25,0,9.22,clear sky
35,Hobart,AU,-42.8794,147.3294,46.06,88,20,2.3,few clouds
36,Avera,US,33.194,-82.5271,67.55,55,28,7.45,scattered clouds
37,Santa Maria,BR,-29.6842,-53.8069,62.22,81,100,3.38,overcast clouds
38,Ambunti,PG,-4.2365,142.8448,73.35,98,100,2.46,overcast clouds
39,Ushuaia,AR,-54.8,-68.3,40.37,71,47,8.5,scattered clouds
40,Lagoa,PT,39.05,-27.9833,71.1,74,9,17.27,clear sky
41,Cape Town,ZA,-33.9258,18.4232,71.11,52,100,8.99,overcast clouds
42,Hilo,US,19.7297,-155.09,78.28,68,0,8.05,clear sky
43,Dubbo,AU,-32.25,148.6167,51.93,76,100,9.22,overcast clouds
44,Valparaiso,CL,-33.0393,-71.6273,59.0,93,100,5.75,mist
45,Mount Isa,AU,-20.7333,139.5,71.37,53,100,0.0,overcast clouds
46,Busselton,AU,-33.65,115.3333,56.19,81,31,17.58,scattered clouds
47,Dunedin,NZ,-45.8742,170.5036,45.81,74,23,2.82,few clouds
48,Cao Bang,VN,22.6667,106.25,74.28,99,100,2.15,overcast clouds
49,Port Shepstone,ZA,-30.7414,30.455,69.55,79,89,20.58,overcast clouds
50,Gushikawa,JP,26.3544,127.8686,81.63,88,0,3.44,clear sky
51,Korla,CN,41.7597,86.1469,61.18,25,100,12.41,overcast clouds
52,Sur,OM,22.5667,59.5289,85.68,62,1,8.93,clear sky
53,Muros,ES,42.7762,-9.0603,70.09,79,65,5.23,broken clouds
54,Bengkulu,ID,-3.8004,102.2655,77.29,89,100,2.21,moderate rain
55,La Roche-Sur-Yon,FR,46.6667,-1.4333,64.67,100,100,11.5,mist
56,Komsomolskiy,UZ,40.4272,71.7189,70.52,24,100,4.61,overcast clouds
57,Ahipara,NZ,-35.1667,173.1667,57.51,97,82,6.55,broken clouds
58,Les Cayes,HT,18.2,-73.75,83.68,69,88,9.53,overcast clouds
59,Airai,TL,-8.9266,125.4092,62.62,92,92,1.83,overcast clouds
60,Saint George,US,37.1041,-113.5841,65.95,43,0,1.99,clear sky
61,Ancud,CL,-41.8697,-73.8203,50.2,64,7,5.35,clear sky
62,Manga,BF,11.6636,-1.0731,87.4,54,65,9.98,broken clouds
63,Xingyi,CN,24.1877,102.817,61.74,93,100,2.8,overcast clouds
64,Waipawa,NZ,-41.4122,175.5153,47.28,97,100,13.18,moderate rain
65,Cosala,MX,24.4125,-106.6908,69.1,91,2,3.51,clear sky
66,Kamarion,GR,36.8,25.8167,76.1,67,57,4.59,broken clouds
67,Dikson,RU,73.5069,80.5464,34.48,99,100,12.62,overcast clouds
68,Coquimbo,CL,-29.9533,-71.3436,59.05,78,83,4.72,broken clouds
69,Sorland,NO,67.667,12.6934,51.66,61,20,13.04,few clouds
70,Nerchinskiy Zavod,RU,51.3088,119.61,42.13,96,100,1.48,overcast clouds
71,Tuktoyaktuk,CA,69.4541,-133.0374,32.81,82,100,11.92,overcast clouds
72,Bud,US,39.447,-86.1758,57.85,85,0,13.2,clear sky
73,Port Elizabeth,ZA,-33.918,25.5701,70.11,70,78,1.99,broken clouds
74,Kysyl-Syr,RU,63.8986,122.7617,26.1,78,98,1.97,overcast clouds
75,Barrow,US,71.2906,-156.7887,26.62,86,100,12.66,overcast clouds
76,Qaanaaq,GL,77.484,-69.3632,11.62,70,0,5.61,clear sky
77,Novikovo,RU,51.1537,37.8879,68.95,62,87,10.89,overcast clouds
78,Carutapera,BR,-1.195,-46.02,87.85,58,68,11.3,broken clouds
79,Hit,IQ,33.6416,42.8251,96.89,12,0,10.04,clear sky
80,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,73,75,19.57,broken clouds
81,Belmonte,BR,-15.8631,-38.8828,78.31,69,74,11.41,broken clouds
82,Khatanga,RU,71.9667,102.5,29.93,97,100,14.47,light snow
83,Guerrero Negro,MX,27.9769,-114.0611,68.14,81,4,12.48,clear sky
84,Chuy,UY,-33.6971,-53.4616,63.52,67,30,8.81,scattered clouds
