City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lata,PT,2022-09-28 02:01:17,40.1629,-8.3327,54.91,98,44,1.79
1,Lakes Entrance,AU,2022-09-28 02:01:18,-37.8811,147.981,58.15,90,66,10.07
2,Vaini,TO,2022-09-28 02:01:18,-21.2,-175.2,74.61,83,0,10.78
3,Punta Arenas,CL,2022-09-28 01:59:45,-53.15,-70.9167,42.91,75,0,12.66
4,Longyearbyen,SJ,2022-09-28 02:01:19,78.2186,15.6401,33.64,93,20,2.3
5,Ambon,ID,2022-09-28 02:01:20,-3.6954,128.1814,87.94,70,40,4.61
6,Port Alfred,ZA,2022-09-28 02:01:21,-33.5906,26.891,67.17,99,100,8.99
7,Sao Filipe,CV,2022-09-28 02:01:22,14.8961,-24.4956,78.22,73,42,6.62
8,Kapaa,US,2022-09-28 02:01:23,22.0752,-159.319,84.18,69,12,4.0
9,Kavieng,PG,2022-09-28 02:01:24,-2.5744,150.7967,84.97,63,88,14.34
10,Margate,GB,2022-09-28 02:01:22,51.3813,1.3862,49.69,84,6,5.01
11,Mar Del Plata,AR,2022-09-28 01:57:07,-38.0023,-57.5575,48.94,69,0,2.3
12,Hithadhoo,MV,2022-09-28 02:01:26,-0.6,73.0833,76.59,91,100,16.62
13,Butaritari,KI,2022-09-28 02:01:27,3.0707,172.7902,81.84,75,57,15.7
14,Faanui,PF,2022-09-28 02:01:27,-16.4833,-151.75,78.94,72,9,13.65
15,Ranau,MY,2022-09-28 02:01:28,5.9538,116.6641,82.18,59,82,1.32
16,Rocha,UY,2022-09-28 02:01:29,-34.4833,-54.3333,51.12,93,9,6.76
17,Antalaha,MG,2022-09-28 02:01:30,-14.9003,50.2788,67.55,79,88,6.38
18,Sibolga,ID,2022-09-28 02:01:30,1.7427,98.7792,77.72,85,100,1.9
19,Olavarria,AR,2022-09-28 02:01:31,-36.8927,-60.3225,49.01,45,0,8.86
20,Hamilton,US,2022-09-28 01:58:03,39.1834,-84.5333,55.67,62,40,1.01
21,Karratha,AU,2022-09-28 02:01:32,-20.7377,116.8463,83.86,24,6,14.97
22,Mataura,NZ,2022-09-28 02:01:33,-46.1927,168.8643,67.06,47,66,1.83
23,Clyde River,CA,2022-09-28 02:01:33,70.4692,-68.5914,22.06,73,1,4.99
24,Castro,BR,2022-09-28 02:01:34,-24.7911,-50.0119,58.23,99,100,2.26
25,Bako,ET,2022-09-28 02:01:34,5.7833,36.5667,62.85,70,5,3.85
26,Atuona,PF,2022-09-28 02:01:35,-9.8,-139.0333,76.89,77,7,20.2
27,Albany,US,2022-09-28 01:59:41,42.6001,-73.9662,55.45,88,65,4.97
28,Los Llanos De Aridane,ES,2022-09-28 02:01:36,28.6585,-17.9182,68.13,92,20,11.5
29,Cidreira,BR,2022-09-28 02:01:37,-30.1811,-50.2056,59.59,89,4,6.44
30,Shuangyang,CN,2022-09-28 02:01:37,43.5242,125.6736,70.66,54,11,16.24
31,Lahaina,US,2022-09-28 02:01:38,20.8783,-156.6825,81.81,79,5,8.32
32,Dikson,RU,2022-09-28 02:01:38,73.5069,80.5464,31.77,72,73,6.24
33,San Cristobal,VE,2022-09-28 02:01:39,7.7669,-72.225,68.36,94,98,1.48
34,Khandagayty,RU,2022-09-28 02:01:39,50.7333,92.05,49.1,41,100,7.76
35,East London,ZA,2022-09-28 02:01:40,-33.0153,27.9116,69.39,95,100,20.49
36,Hermanus,ZA,2022-09-28 02:01:40,-34.4187,19.2345,48.79,84,98,7.49
37,Dingle,PH,2022-09-28 02:01:41,10.9995,122.6711,79.77,85,100,1.61
38,Jega,NG,2022-09-28 02:01:42,12.2175,4.3792,75.02,89,89,9.44
39,Severo-Kurilsk,RU,2022-09-28 02:01:42,50.6789,156.125,52.02,71,5,14.92
40,Berezniki,RU,2022-09-28 02:01:43,59.4152,56.8124,25.07,77,7,1.77
41,Mizdah,LY,2022-09-28 02:01:44,31.4451,12.9801,73.76,65,91,3.58
42,Am Timan,TD,2022-09-28 02:01:45,11.0297,20.2827,69.55,93,100,3.62
43,Loandjili,CG,2022-09-28 02:01:46,-4.7561,11.8578,75.13,83,100,7.18
44,Yar-Sale,RU,2022-09-28 02:01:46,66.8333,70.8333,28.69,87,100,11.79
45,Rikitea,PF,2022-09-28 02:01:47,-23.1203,-134.9692,70.05,60,32,10.74
46,Thompson,CA,2022-09-28 02:00:32,55.7435,-97.8558,48.7,61,65,11.21
47,Namibe,AO,2022-09-28 02:02:47,-15.1961,12.1522,61.47,82,43,4.92
48,Zamosc,PL,2022-09-28 02:02:48,50.7231,23.252,51.6,89,100,10.85
49,Ballina,AU,2022-09-28 02:02:49,-28.8667,153.5667,79.79,67,41,5.5
50,Saint-Philippe,RE,2022-09-28 02:02:49,-21.3585,55.7679,67.59,70,40,7.94
51,Zaysan,KZ,2022-09-28 02:02:50,47.4667,84.8667,58.37,35,100,5.08
52,Lebu,CL,2022-09-28 02:02:51,-37.6167,-73.65,49.95,88,0,12.57
53,Koslan,RU,2022-09-28 02:02:51,63.4564,48.8989,28.18,81,5,5.21
54,Ushuaia,AR,2022-09-28 02:00:08,-54.8,-68.3,38.08,96,100,6.11
55,Lasa,IT,2022-09-28 02:02:52,46.6166,10.7002,40.37,66,82,3.27
56,Hilo,US,2022-09-28 01:58:23,19.7297,-155.09,86.29,83,98,3.0
57,Port Elizabeth,ZA,2022-09-28 02:00:17,-33.918,25.5701,65.32,99,100,1.01
58,Cabo San Lucas,MX,2022-09-28 01:58:11,22.8909,-109.9124,86.61,74,0,1.99
59,Kununurra,AU,2022-09-28 02:02:54,-15.7667,128.7333,93.18,33,100,6.91
